5,5,5,1,0,1,4,3,1,3,4,2,2,2,4,0,1,0,3,2,0,2,1,-1,0,0,-1,5,0,0,5,-1,-10,-1,-7,-4,-3,-4,-1,-9,-1,-2,-3,-1,-1,-9,-8,-6,-4,-8,-4,-8,-5,-5,-3,-10,-7,-6,-4,-10,-7,-8,-1,-8,-7,-3,-10,-5,-7,-5,-2,31880,-24153,-17534,-15669,-32610,9612,-1544,-11316,29250,1242,-27574,-3712,1916,27091,315,-6494,24175,10643,-12326,8043,14139,27127,-19120,24021,-6133,30236,-26108,10540,-25013,-30322,-8627,9961,29217,30886,-27820,16370,-19124,-28899,30267,5117
5,5,5,0,4,4,4,3,0,3,3,0,2,2,2,4,0,4,2,0,0,0,1,-1,0,0,-1,5,0,0,5,-10,-6,-7,-3,-7,-6,-3,-9,-2,-4,-1,-8,-5,-5,-9,-7,-10,-6,-4,-4,-5,-1,-8,-1,-1,-3,-7,-2,-6,-6,-8,-9,-4,-4,-10,-3,-7,-3,-7,-5,20387,7222,-20013,-17247,-31870,29112,21231,24992,-8125,30889,-28619,-20875,27526,7100,4714,-10778,30358,12534,-25214,14109,998,16553,12588,-25024,-10484,7023,-30882,16015,25193,31919,26596,22330,22505,5451,7080,-5537,-23671,889,22741,-23390
5,10,5,1,4,5,4,7,1,7,4,2,2,4,2,4,3,6,3,5,0,6,0,-1,0,0,-1,5,0,0,10,-4,-6,-6,-8,-5,-5,-4,-3,-2,-8,-9,-3,-6,-9,-9,-10,-5,-7,-2,-9,-1,-4,-3,-6,-5,-8,-5,-5,-5,-8,-3,-8,-9,-4,-10,-10,-4,-10,-8,-6,6025,-31253,-22228,-1927,3205,-775,20018,10413,-1697,11618,-20664,-20048,7317,18846,-5440,-8530,-13642,-31279,-19655,-21455,26890,17417,-1227,-24943,-5441,-30420,24817,14736,22995,-21340,-29125,-13050,-21877,32266,31901,20472,-10577,-16751,-29169,-22656
5,10,5,2,0,2,4,4,0,4,3,6,1,6,3,9,2,9,4,7,2,7,3,-1,0,0,-1,5,0,0,10,-10,-4,-4,-2,-6,-2,-9,-1,-10,-1,-10,-10,-3,-8,-8,-5,-9,-7,-1,-6,-10,-5,-4,-9,-1,-8,-9,-10,-2,-5,-8,-5,-6,-7,-4,-7,-8,-10,-5,-7,26292,6910,-21538,-8133,1079,24409,3732,-16432,-23776,23914,4488,30229,27923,1772,26913,1176,-25384,-10554,-14309,9831,-26790,1712,-16696,-26158,1149,32571,-743,-31003,16063,-26682,25708,6443,28893,32117,-3190,-241,14736,-17956,-20375,1668
10,5,5,1,4,1,8,0,0,0,3,0,7,0,9,2,7,2,9,4,5,4,6,-1,0,0,-1,10,0,0,5,-8,-2,-7,-1,-5,-2,-3,-9,-3,-4,-7,-9,-8,-2,-7,-8,-3,-4,-2,-8,-9,-10,-9,-1,-1,-10,-5,-4,-5,-7,-2,-4,-1,-2,-7,-4,-6,-9,-5,-1,15406,-9228,28089,-25963,26943,-2704,-838,-8086,26310,-984,32311,14787,-10145,25534,-9700,24058,30960,18933,12353,11278,12204,-7282,-14745,2877,16857,5393,15364,3427,-15739,7687,21362,-3360,-23450,-19302,1486,12764,26329,25552,11781,-27586
10,5,5,0,6,4,6,0,4,3,4,1,9,3,9,1,5,3,5,3,7,4,7,-1,0,0,-1,10,0,0,5,-1,-2,-2,-2,-6,-3,-7,-10,-6,-2,-1,-1,-1,-2,-2,-7,-3,-3,-4,-4,-8,-6,-4,-3,-2,-2,-7,-10,-7,-10,-6,-7,-10,-8,-2,-4,-3,-7,-5,-5,-13215,157,29601,14026,11531,-1483,-7510,3644,29437,-8167,29261,29414,-2167,18263,6454,11869,-4114,8687,19591,-6056,-20586,-1353,10403,14435,-31212,5541,-10549,-29642,-17419,4744,9963,-11182,-2406,-23126,-32368,-31836,-19649,-5882,-8894,25551
8,8,5,4,1,4,5,2,4,2,7,0,3,0,5,5,0,7,0,4,7,5,7,-1,0,0,-1,8,0,0,8,-2,-8,-7,-8,-4,-2,-10,-9,-4,-1,-1,-1,-10,-5,-8,-10,-10,-5,-8,-6,-7,-9,-6,-6,-1,-1,-1,-3,-10,-8,-6,-5,-6,-8,-2,-7,-10,-2,-3,-5,26304,-26796,28832,6170,257,15102,-4883,11142,28606,-8204,22723,-28478,-20903,-21449,15795,-30700,27777,-826,-15025,22097,9011,-8313,218,32692,-2800,11462,-3706,15964,-17989,25354,-10710,32030,13791,6209,14444,-31882,18851,21447,-26845,-2942
8,8,5,2,0,6,0,2,1,2,4,0,7,2,7,4,2,6,2,0,1,0,2,-1,0,0,-1,8,0,0,8,-4,-4,-3,-4,-7,-2,-6,-7,-8,-5,-4,-6,-2,-9,-4,-6,-4,-1,-10,-1,-5,-6,-8,-1,-4,-8,-8,-7,-5,-4,-3,-2,-6,-3,-8,-2,-6,-7,-7,-2,2603,17554,26251,-26774,29621,-18986,9015,15958,-25780,11183,8522,-5916,21659,24086,-17943,16719,18070,14082,-3146,22,25542,-4409,-14617,28431,-26288,7480,-1427,-341,-5279,-31066,10065,-27126,-2935,18510,27999,-2203,-11451,-1440,3861,17237
10,10,5,7,1,7,5,3,8,6,8,4,7,6,7,1,4,3,4,3,5,3,6,-1,0,0,-1,10,0,0,10,-10,-10,-8,-8,-2,-6,-4,-4,-8,-5,-7,-5,-4,-1,-2,-7,-5,-5,-6,-7,-5,-3,-8,-9,-7,-8,-7,-3,-8,-9,-10,-9,-4,-10,-1,-10,-10,-8,-2,-10,-12849,25166,-14424,-13332,30801,22666,2035,-12400,-16288,27073,-3002,7346,19797,-27396,-20962,18152,23264,-2760,12521,-29940,1982,26590,-4212,-15032,-7678,-24760,-8572,30190,7173,-7229,16371,-28870,-20706,-2630,8384,31071,29869,24112,3606,-31265
10,10,5,1,3,1,7,1,0,4,0,1,9,3,9,8,3,8,5,5,5,6,5,-1,0,0,-1,10,0,0,10,-2,-9,-8,-2,-1,-7,-8,-8,-3,-10,-9,-5,-2,-9,-9,-2,-6,-4,-2,-1,-2,-4,-9,-6,-1,-7,-2,-7,-2,-5,-10,-4,-10,-9,-9,-7,-3,-7,-8,-5,19496,25789,11061,30486,-26381,-7434,-26481,29765,18113,22329,31692,-22386,7983,-31518,-2689,14116,-2735,6648,-26344,-23139,-30346,23018,-32166,-21865,18686,-19457,-4919,6911,29205,22375,14825,30404,-20911,-5695,5695,-643,-13241,-18695,-19452,5248
10,10,5,8,5,8,9,3,4,6,4,6,1,6,3,0,5,0,7,6,8,7,8,-1,0,0,-1,10,0,0,10,-2,-5,-4,-10,-5,-5,-10,-6,-7,-5,-8,-2,-7,-8,-3,-1,-4,-2,-2,-10,-8,-3,-9,-9,-1,-10,-3,-7,-1,-6,-9,-5,-9,-8,-3,-8,-4,-1,-4,-10,3955,4693,-5043,24941,-31044,-2088,-6508,-23715,2028,-20850,28011,-5777,23523,-17679,-12733,17369,-26274,29225,27443,-20814,31619,3248,-15613,-13271,-12296,-682,-2976,1804,-22135,13583,30825,13871,22327,-23039,14788,-10653,23834,-2940,-7448,6770
10,10,5,4,2,4,6,6,0,9,0,0,5,2,5,2,2,2,4,4,7,4,8,-1,0,0,-1,10,0,0,10,-3,-2,-4,-2,-6,-3,-7,-2,-5,-8,-1,-6,-1,-1,-8,-10,-3,-3,-7,-1,-6,-7,-4,-8,-4,-5,-5,-10,-1,-9,-1,-2,-1,-2,-8,-3,-5,-9,-10,-10,-666,-23627,-18146,13405,1464,17630,-20291,-1395,30649,11671,-2999,-17965,-9509,31327,11757,-3545,30946,-19302,-23273,11271,-22468,21077,8503,13077,13991,-11052,31364,10397,-7884,-26728,28680,-25148,24241,-25801,-11871,16450,-8162,8955,632,6897
15,15,5,0,3,0,7,0,11,3,11,2,7,2,9,8,12,10,12,6,2,6,3,-1,0,0,-1,15,0,0,15,-9,-1,-9,-4,-2,-8,-7,-9,-3,-2,-10,-5,-6,-5,-1,-3,-5,-7,-4,-10,-4,-5,-8,-6,-2,-6,-5,-5,-1,-10,-10,-1,-1,-1,-8,-10,-5,-10,-1,-8,30865,8843,-13225,14170,10436,-29759,-15343,-23572,18864,-17542,8337,-14837,-11326,-18365,2037,20189,-12128,-562,-7332,28161,6622,-4503,8206,-3673,-29515,-1308,-4720,21310,12767,-15549,15766,25583,30703,-10063,-13021,16317,-5818,17141,32574,-31784
20,20,5,14,14,18,14,3,13,3,16,9,7,11,7,10,10,10,12,8,10,9,10,-1,0,0,-1,20,0,0,20,-4,-6,-6,-5,-3,-10,-5,-6,-6,-9,-8,-1,-7,-7,-8,-10,-2,-10,-10,-9,-5,-8,-10,-10,-4,-10,-10,-3,-2,-10,-2,-1,-5,-4,-1,-4,-6,-10,-10,-5,30550,8763,31160,2788,-5270,18435,20905,30471,16014,-28041,-2793,-1672,18167,4418,30118,6804,-6994,-29937,1068,-20461,1755,-31890,29083,16667,-22429,32669,4050,17951,11681,-13216,13617,12152,-29778,-17115,3215,-28463,21435,-26222,3431,26321
