5,5,5,4,0,4,4,1,1,1,4,0,0,0,2,3,0,3,2,3,3,3,4,2,4,2,1,4,3,3,1,3,4,3,3,2,0,4,1,0,4,1,3,2,3,1,0,0,3,0,0,1,1,1,4,4,4
5,5,5,0,3,4,3,1,4,4,4,2,1,4,1,2,2,4,2,0,1,0,2,2,3,1,2,3,0,2,2,4,3,1,3,3,1,4,4,4,2,2,0,4,1,2,4,3,4,1,4,3,2,1,0,3,3
5,10,5,3,0,3,4,2,0,2,3,7,1,9,1,6,4,8,4,4,3,5,3,1,8,1,2,4,8,3,2,4,3,1,9,2,2,2,3,3,4,1,3,1,7,4,7,3,5,3,3,0,2,0,3,4,6
5,10,5,6,0,6,4,5,0,5,3,4,2,4,4,1,3,3,3,0,2,0,3,3,1,3,0,0,5,2,5,4,4,3,5,2,6,3,6,3,2,4,6,0,6,1,6,1,5,3,3,2,0,2,4,3,4
10,5,5,0,2,4,2,1,3,1,6,0,6,0,8,4,4,4,6,3,3,4,3,2,2,3,1,5,4,2,1,3,4,4,1,3,3,7,0,6,1,2,0,8,0,6,0,6,4,4,4,2,4,5,1,2,3
10,5,5,0,0,0,4,0,6,3,6,0,8,2,8,4,1,4,3,1,0,1,1,0,0,0,1,3,4,2,0,1,1,1,0,3,0,8,0,6,3,8,2,6,2,6,1,4,0,8,1,6,0,2,4,1,4
8,8,5,1,1,5,1,6,3,6,6,6,0,6,2,2,5,2,7,3,2,3,3,0,6,2,6,5,2,6,2,3,6,1,5,1,2,2,3,4,6,1,6,1,1,7,2,6,6,3,3,1,3,1,4,5,6
8,8,5,0,7,4,7,7,2,7,5,3,0,3,2,3,6,5,6,0,1,1,1,7,3,6,4,1,0,6,5,1,3,2,3,7,2,4,7,2,7,7,4,0,3,7,0,5,7,3,7,1,1,7,1,6,3
10,10,5,5,1,5,5,0,5,3,5,5,9,7,9,7,0,9,0,1,0,1,1,0,8,4,5,5,1,1,1,0,9,9,5,0,7,5,5,3,5,5,3,5,0,9,6,9,7,2,5,5,2,1,5,0,1
10,10,5,3,3,7,3,5,6,5,9,2,5,4,5,0,6,0,8,7,4,7,5,5,4,6,0,5,3,4,7,3,5,6,5,3,4,7,5,5,7,7,0,3,7,3,3,8,0,9,5,3,6,8,5,5,2
10,10,5,7,3,7,7,9,3,9,6,5,4,5,6,6,0,8,0,1,7,1,8,5,9,4,7,4,5,7,7,6,5,7,1,0,7,0,6,0,8,6,9,3,7,4,9,5,7,6,7,8,1,3,9,5,5
10,10,5,1,3,1,7,7,4,7,7,4,0,4,2,9,3,9,5,5,2,5,3,5,1,7,7,4,9,2,4,1,4,6,1,0,4,4,7,3,5,5,9,6,7,4,1,3,9,3,1,2,5,5,7,7,1
15,15,5,11,4,11,8,1,7,1,10,9,9,9,11,4,1,4,3,12,1,13,1,7,11,10,1,1,4,10,9,9,1,2,4,1,12,1,13,5,11,11,9,6,11,8,1,9,9,7,1,4,11,3,4,8,11
20,20,5,11,15,15,15,17,5,17,8,7,3,9,3,16,2,18,2,18,7,19,7,6,17,15,12,7,18,7,19,7,17,15,13,3,9,3,7,2,16,15,14,8,17,2,18,2,17,5,17,15,15,15,11,3,8
